Empty all garbage cans in house,5,1,true
Vacuum & Wipe down 9,5,1,true
Sweep/Mop Meeting Room,4,2,true
Sweep/Mop Pool Room,4,2,true
Wipe Down 1st floor surfaces,4,1,true
Sweep/Mop Dining Room,3,2,true
Sweep/Mop Foyer & Back Hallway,3,1,true
Sweep/Mop 2nd Floor Hallway,3,1,true
Sweep basement,2,2,true
Sweep/Mop Back Steps,2,1,true
Sweep/Mop Main stairs 1st to 2nd,2,2,true
Sweep/Mop Main stairs 2nd to 3rd,2,2,true
Wipe Down Bathroom counters,2,1,true
Sweep/Mop All Bathrooms,2,2,true
